id,title,company_name,location_display,salary_min,salary_max,description,created_at,redirect_url,search_term
1010,Lead Data Scientist,National Crime Agency (NCA),"London, London, UK",,,"Lead Data Scientist role at National Crime Agency (NCA). Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T14:12:00,https://uk.linkedin.com/jobs/view/lead-data-scientist-at-national-crime-agency-nca-4443152770,analytics engineer
1011,Lead Analytics Engineer,the LEGO Group,"London, London, UK",,,"Lead Analytics Engineer role at the LEGO Group. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T14:00:00,https://uk.linkedin.com/jobs/view/lead-analytics-engineer-at-the-lego-group-4441049436,analytics engineer
1012,Lead Data Engineer,Sahaj Software,"London, London, UK",,,"Lead Data Engineer role at Sahaj Software. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T13:24:00,https://uk.linkedin.com/jobs/view/lead-data-engineer-at-sahaj-software-4443911994,analytics engineer
1013,Procurement Data Analyst,Sun Chemical,"Sidcup, London, UK",,,"Procurement Data Analyst role at Sun Chemical. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T13:18:00,https://uk.linkedin.com/jobs/view/procurement-data-analyst-at-sun-chemical-4441056071,analytics engineer
1014,Senior Data Analytics Engineer,Telefónica Tech (EN),"London, London, UK",,,"Senior Data Analytics Engineer role at Telefónica Tech (EN). Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T12:42:00,https://uk.linkedin.com/jobs/view/senior-data-analytics-engineer-at-telef%C3%B3nica-tech-en-4441052097,analytics engineer
1015,Data Engineer (Databricks),Korn Ferry,"City of London, London, UK",400,500,"Data Engineer (Databricks) role at Korn Ferry. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T12:18:00,https://uk.linkedin.com/jobs/view/data-engineer-databricks-at-korn-ferry-4443912583,analytics engineer
1016,Senior Data Engineer,Zepz,"London, London, UK",,,"Senior Data Engineer role at Zepz. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T12:12:00,https://uk.linkedin.com/jobs/view/senior-data-engineer-at-zepz-4441031830,analytics engineer
1017,Lead Data Scientist,Handelsbanken,"London, London, UK",,,"Lead Data Scientist role at Handelsbanken. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T11:12:00,https://uk.linkedin.com/jobs/view/lead-data-scientist-at-handelsbanken-4441043086,analytics engineer
1018,Data Analyst,Neev,"London, London, UK",,,"Data Analyst role at Neev. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T10:30:00,https://uk.linkedin.com/jobs/view/data-analyst-at-neev-4443793561,analytics engineer
1019,Senior Data Engineer,CMC Markets,"London, London, UK",,,"Senior Data Engineer role at CMC Markets. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T10:00:00,https://uk.linkedin.com/jobs/view/senior-data-engineer-at-cmc-markets-4441019843,analytics engineer
1020,Data Engineer III - FMX,Fanatics,"London, London, UK",,,"Data Engineer III - FMX role at Fanatics. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T09:30:00,https://uk.linkedin.com/jobs/view/data-engineer-iii-fmx-at-fanatics-4441033194,analytics engineer
1021,Data Engineer,Raymond James UK,"London, London, UK",,,"Data Engineer role at Raymond James UK. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T09:12:00,https://uk.linkedin.com/jobs/view/data-engineer-at-raymond-james-uk-4443785473,analytics engineer
1022,Senior Data Scientist,NHS Resolution,"London, London, UK",55690,62682,"Senior Data Scientist role at NHS Resolution. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T08:54:00,https://uk.linkedin.com/jobs/view/senior-data-scientist-at-nhs-resolution-4443119491,analytics engineer
1023,Associate Data Engineer,ASOS.com,"London, London, UK",,,"Associate Data Engineer role at ASOS.com. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T08:30:00,https://uk.linkedin.com/jobs/view/associate-data-engineer-at-asos-com-4443105868,analytics engineer
1024,"TikTok Shop - Senior Data Analyst, Logistics",TikTok,"London, London, UK",,,"TikTok Shop - Senior Data Analyst, Logistics role at TikTok. Skills: SQL, Python, dbt, Snowflake, Airflow, Tableau, Power BI.",2026-07-22T07:48:00,https://uk.linkedin.com/jobs/view/tiktok-shop-senior-data-analyst-logistics-at-tiktok-4443770572,analytics engineer
